sample_id,split,npz_file,npz_index,task,label,label_name,x,y,x_norm,y_norm,position_bin,shape_id
position_train_00000,position_train,position_train.npz,0,absolute_position,0,position_bin_0,2,4,-0.870968,-0.741935,0,0
position_train_00001,position_train,position_train.npz,1,absolute_position,0,position_bin_0,4,4,-0.741935,-0.741935,0,0
position_train_00002,position_train,position_train.npz,2,absolute_position,0,position_bin_0,5,7,-0.677419,-0.548387,0,0
position_train_00003,position_train,position_train.npz,3,absolute_position,0,position_bin_0,2,2,-0.870968,-0.870968,0,0
position_train_00004,position_train,position_train.npz,4,absolute_position,0,position_bin_0,4,6,-0.741935,-0.612903,0,0
position_train_00005,position_train,position_train.npz,5,absolute_position,0,position_bin_0,6,3,-0.612903,-0.806452,0,0
position_train_00006,position_train,position_train.npz,6,absolute_position,0,position_bin_0,2,7,-0.870968,-0.548387,0,0
position_train_00007,position_train,position_train.npz,7,absolute_position,0,position_bin_0,4,3,-0.741935,-0.806452,0,0
position_train_00008,position_train,position_train.npz,8,absolute_position,0,position_bin_0,3,5,-0.806452,-0.677419,0,0
position_train_00009,position_train,position_train.npz,9,absolute_position,0,position_bin_0,5,5,-0.677419,-0.677419,0,0
position_train_00010,position_train,position_train.npz,10,absolute_position,0,position_bin_0,6,4,-0.612903,-0.741935,0,0
position_train_00011,position_train,position_train.npz,11,absolute_position,0,position_bin_0,6,4,-0.612903,-0.741935,0,0
position_train_00012,position_train,position_train.npz,12,absolute_position,0,position_bin_0,4,5,-0.741935,-0.677419,0,0
position_train_00013,position_train,position_train.npz,13,absolute_position,0,position_bin_0,4,7,-0.741935,-0.548387,0,0
position_train_00014,position_train,position_train.npz,14,absolute_position,0,position_bin_0,4,6,-0.741935,-0.612903,0,0
position_train_00015,position_train,position_train.npz,15,absolute_position,0,position_bin_0,5,6,-0.677419,-0.612903,0,0
position_train_00016,position_train,position_train.npz,16,absolute_position,0,position_bin_0,2,5,-0.870968,-0.677419,0,0
position_train_00017,position_train,position_train.npz,17,absolute_position,0,position_bin_0,4,3,-0.741935,-0.806452,0,0
position_train_00018,position_train,position_train.npz,18,absolute_position,0,position_bin_0,5,2,-0.677419,-0.870968,0,0
position_train_00019,position_train,position_train.npz,19,absolute_position,0,position_bin_0,7,5,-0.548387,-0.677419,0,0
position_train_00020,position_train,position_train.npz,20,absolute_position,0,position_bin_0,3,4,-0.806452,-0.741935,0,0
position_train_00021,position_train,position_train.npz,21,absolute_position,0,position_bin_0,7,4,-0.548387,-0.741935,0,0
position_train_00022,position_train,position_train.npz,22,absolute_position,0,position_bin_0,3,5,-0.806452,-0.677419,0,0
position_train_00023,position_train,position_train.npz,23,absolute_position,0,position_bin_0,6,7,-0.612903,-0.548387,0,0
position_train_00024,position_train,position_train.npz,24,absolute_position,0,position_bin_0,2,7,-0.870968,-0.548387,0,0
position_train_00025,position_train,position_train.npz,25,absolute_position,0,position_bin_0,2,4,-0.870968,-0.741935,0,0
position_train_00026,position_train,position_train.npz,26,absolute_position,0,position_bin_0,2,3,-0.870968,-0.806452,0,0
position_train_00027,position_train,position_train.npz,27,absolute_position,0,position_bin_0,6,6,-0.612903,-0.612903,0,0
position_train_00028,position_train,position_train.npz,28,absolute_position,0,position_bin_0,5,7,-0.677419,-0.548387,0,0
position_train_00029,position_train,position_train.npz,29,absolute_position,0,position_bin_0,4,7,-0.741935,-0.548387,0,0
position_train_00030,position_train,position_train.npz,30,absolute_position,0,position_bin_0,6,3,-0.612903,-0.806452,0,0
position_train_00031,position_train,position_train.npz,31,absolute_position,0,position_bin_0,4,3,-0.741935,-0.806452,0,0
position_train_00032,position_train,position_train.npz,32,absolute_position,0,position_bin_0,4,3,-0.741935,-0.806452,0,0
position_train_00033,position_train,position_train.npz,33,absolute_position,0,position_bin_0,2,3,-0.870968,-0.806452,0,0
position_train_00034,position_train,position_train.npz,34,absolute_position,0,position_bin_0,3,2,-0.806452,-0.870968,0,0
position_train_00035,position_train,position_train.npz,35,absolute_position,0,position_bin_0,6,6,-0.612903,-0.612903,0,0
position_train_00036,position_train,position_train.npz,36,absolute_position,0,position_bin_0,6,3,-0.612903,-0.806452,0,0
position_train_00037,position_train,position_train.npz,37,absolute_position,0,position_bin_0,7,6,-0.548387,-0.612903,0,0
position_train_00038,position_train,position_train.npz,38,absolute_position,0,position_bin_0,2,2,-0.870968,-0.870968,0,0
position_train_00039,position_train,position_train.npz,39,absolute_position,0,position_bin_0,4,3,-0.741935,-0.806452,0,0
position_train_00040,position_train,position_train.npz,40,absolute_position,0,position_bin_0,6,6,-0.612903,-0.612903,0,0
position_train_00041,position_train,position_train.npz,41,absolute_position,0,position_bin_0,7,5,-0.548387,-0.677419,0,0
position_train_00042,position_train,position_train.npz,42,absolute_position,0,position_bin_0,5,2,-0.677419,-0.870968,0,0
position_train_00043,position_train,position_train.npz,43,absolute_position,0,position_bin_0,2,3,-0.870968,-0.806452,0,0
position_train_00044,position_train,position_train.npz,44,absolute_position,0,position_bin_0,3,5,-0.806452,-0.677419,0,0
position_train_00045,position_train,position_train.npz,45,absolute_position,0,position_bin_0,7,5,-0.548387,-0.677419,0,0
position_train_00046,position_train,position_train.npz,46,absolute_position,0,position_bin_0,6,6,-0.612903,-0.612903,0,0
position_train_00047,position_train,position_train.npz,47,absolute_position,0,position_bin_0,3,2,-0.806452,-0.870968,0,0
position_train_00048,position_train,position_train.npz,48,absolute_position,0,position_bin_0,6,3,-0.612903,-0.806452,0,0
position_train_00049,position_train,position_train.npz,49,absolute_position,0,position_bin_0,6,6,-0.612903,-0.612903,0,0
position_train_00050,position_train,position_train.npz,50,absolute_position,0,position_bin_0,2,5,-0.870968,-0.677419,0,0
position_train_00051,position_train,position_train.npz,51,absolute_position,0,position_bin_0,2,5,-0.870968,-0.677419,0,0
position_train_00052,position_train,position_train.npz,52,absolute_position,0,position_bin_0,6,7,-0.612903,-0.548387,0,0
position_train_00053,position_train,position_train.npz,53,absolute_position,0,position_bin_0,6,7,-0.612903,-0.548387,0,0
position_train_00054,position_train,position_train.npz,54,absolute_position,0,position_bin_0,5,7,-0.677419,-0.548387,0,0
position_train_00055,position_train,position_train.npz,55,absolute_position,0,position_bin_0,4,5,-0.741935,-0.677419,0,0
position_train_00056,position_train,position_train.npz,56,absolute_position,0,position_bin_0,6,4,-0.612903,-0.741935,0,0
position_train_00057,position_train,position_train.npz,57,absolute_position,0,position_bin_0,2,7,-0.870968,-0.548387,0,0
position_train_00058,position_train,position_train.npz,58,absolute_position,0,position_bin_0,6,6,-0.612903,-0.612903,0,0
position_train_00059,position_train,position_train.npz,59,absolute_position,0,position_bin_0,5,3,-0.677419,-0.806452,0,0
position_train_00060,position_train,position_train.npz,60,absolute_position,0,position_bin_0,2,6,-0.870968,-0.612903,0,0
position_train_00061,position_train,position_train.npz,61,absolute_position,0,position_bin_0,5,3,-0.677419,-0.806452,0,0
position_train_00062,position_train,position_train.npz,62,absolute_position,0,position_bin_0,4,3,-0.741935,-0.806452,0,0
position_train_00063,position_train,position_train.npz,63,absolute_position,0,position_bin_0,7,2,-0.548387,-0.870968,0,0
position_train_00064,position_train,position_train.npz,64,absolute_position,0,position_bin_0,6,2,-0.612903,-0.870968,0,0
position_train_00065,position_train,position_train.npz,65,absolute_position,0,position_bin_0,3,3,-0.806452,-0.806452,0,0
position_train_00066,position_train,position_train.npz,66,absolute_position,0,position_bin_0,6,2,-0.612903,-0.870968,0,0
position_train_00067,position_train,position_train.npz,67,absolute_position,0,position_bin_0,7,2,-0.548387,-0.870968,0,0
position_train_00068,position_train,position_train.npz,68,absolute_position,0,position_bin_0,4,7,-0.741935,-0.548387,0,0
position_train_00069,position_train,position_train.npz,69,absolute_position,0,position_bin_0,2,7,-0.870968,-0.548387,0,0
position_train_00070,position_train,position_train.npz,70,absolute_position,0,position_bin_0,2,4,-0.870968,-0.741935,0,0
position_train_00071,position_train,position_train.npz,71,absolute_position,0,position_bin_0,7,7,-0.548387,-0.548387,0,0
